
Idaho (MST) SNOTEL Site Reynolds Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue May 02 14:30:34 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,
2029,2009-08-28,,    21.0,-99.9,
2029,2009-08-29,,    21.0,-99.9,
2029,2009-08-30,,    21.0,-99.9,
2029,2009-08-31,,    21.0,-99.9,
2029,2009-09-01,,    21.0,-99.9,
2029,2009-09-02,,    21.0,-99.9,
2029,2009-09-03,,    21.0,-99.9,
2029,2009-09-04,,    21.0,-99.9,
2029,2009-09-05,,    21.0,-99.9,
2029,2009-09-06,,    21.0,-99.9,
2029,2009-09-07,,    21.0,-99.9,
2029,2009-09-08,,    21.0,-99.9,
2029,2009-09-09,,    21.0,-99.9,
2029,2009-09-10,,    21.0,-99.9,
2029,2009-09-11,,    21.0,-99.9,
2029,2009-09-12,,    21.2,-99.9,
2029,2009-09-13,,    21.2,-99.9,
2029,2009-09-14,,    21.2,-99.9,
2029,2009-09-15,,    21.2,-99.9,
2029,2009-09-16,,    21.2,-99.9,
2029,2009-09-17,,    21.2,-99.9,
2029,2009-09-18,,    21.2,-99.9,
2029,2009-09-19,,    21.2,-99.9,
2029,2009-09-20,,    21.2,-99.9,
2029,2009-09-21,,    21.2,-99.9,
2029,2009-09-22,,    21.2,-99.9,
2029,2009-09-23,,    21.2,-99.9,
2029,2009-09-24,,    21.2,-99.9,
2029,2009-09-25,,    21.2,-99.9,
2029,2009-09-26,,    21.2,-99.9,
2029,2009-09-27,,    21.2,-99.9,
2029,2009-09-28,,    21.2,-99.9,
2029,2009-09-29,,    21.2,-99.9,
2029,2009-09-30,,    21.2,-99.9,
2029,2009-09-30,23:59,    21.4,-99.9,




